{'datetime': '2021-08-14 00:32:58', 'sensor id': 1, 'measurement': 92}
{'datetime': '2021-08-14 00:36:35', 'sensor id': 1, 'measurement': 86}
{'datetime': '2021-08-14 00:36:36', 'sensor id': 1, 'measurement': 95}
{'datetime': '2021-08-14 00:36:37', 'sensor id': 1, 'measurement': 90}
{'datetime': '2021-08-14 00:36:38', 'sensor id': 1, 'measurement': 84}
{'datetime': '2021-08-14 00:36:39', 'sensor id': 1, 'measurement': 96}
{'datetime': '2021-08-14 00:36:40', 'sensor id': 1, 'measurement': 91}
{'datetime': '2021-08-14 00:36:41', 'sensor id': 1, 'measurement': 93}
{'datetime': '2021-08-14 00:36:42', 'sensor id': 1, 'measurement': 89}
{'datetime': '2021-08-14 00:36:43', 'sensor id': 1, 'measurement': 86}
{'datetime': '2021-08-14 00:36:44', 'sensor id': 1, 'measurement': 84}
{'datetime': '2021-08-14 00:36:45', 'sensor id': 1, 'measurement': 98}
{'datetime': '2021-08-14 00:36:46', 'sensor id': 1, 'measurement': 93}
{'datetime': '2021-08-14 00:36:47', 'sensor id': 1, 'measurement': 88}
{'datetime': '2021-08-14 00:36:48', 'sensor id': 1, 'measurement': 86}
{'datetime': '2021-08-14 00:36:49', 'sensor id': 1, 'measurement': 98}
{'datetime': '2021-08-14 00:50:37', 'sensor id': 1, 'measurement': 90}
{'datetime': '2021-08-14 00:50:38', 'sensor id': 1, 'measurement': 90}
{'datetime': '2021-08-14 00:50:39', 'sensor id': 1, 'measurement': 98}
{'datetime': '2021-08-14 00:50:40', 'sensor id': 1, 'measurement': 91}
{'datetime': '2021-08-14 00:50:41', 'sensor id': 1, 'measurement': 83}
{'datetime': '2021-08-14 00:50:42', 'sensor id': 1, 'measurement': 90}
{'datetime': '2021-08-14 00:50:43', 'sensor id': 1, 'measurement': 99}
{'datetime': '2021-08-14 00:50:44', 'sensor id': 1, 'measurement': 99}
{'datetime': '2021-08-14 00:50:45', 'sensor id': 1, 'measurement': 81}
{'datetime': '2021-08-14 00:50:46', 'sensor id': 1, 'measurement': 85}
{'datetime': '2021-08-14 00:50:47', 'sensor id': 1, 'measurement': 99}
{'datetime': '2021-08-14 00:50:48', 'sensor id': 1, 'measurement': 95}
{'datetime': '2021-08-14 00:50:49', 'sensor id': 1, 'measurement': 87}
{'datetime': '2021-08-14 00:50:50', 'sensor id': 1, 'measurement': 94}
{'datetime': '2021-08-14 00:50:51', 'sensor id': 1, 'measurement': 96}
{'datetime': '2021-08-14 00:50:52', 'sensor id': 1, 'measurement': 84}
{'datetime': '2021-08-14 01:05:28', 'sensor id': 1, 'measurement': 86}
{'datetime': '2021-08-14 01:05:29', 'sensor id': 1, 'measurement': 95}
{'datetime': '2021-08-14 01:05:30', 'sensor id': 1, 'measurement': 82}
{'datetime': '2021-08-14 01:05:31', 'sensor id': 1, 'measurement': 92}
{'datetime': '2021-08-14 01:05:32', 'sensor id': 1, 'measurement': 96}
{'datetime': '2021-08-14 01:05:33', 'sensor id': 1, 'measurement': 90}
{'datetime': '2021-08-14 01:05:34', 'sensor id': 1, 'measurement': 97}
{'datetime': '2021-08-14 01:05:35', 'sensor id': 1, 'measurement': 98}
{'datetime': '2021-08-14 01:05:36', 'sensor id': 1, 'measurement': 86}
{'datetime': '2021-08-14 01:05:37', 'sensor id': 1, 'measurement': 98}
{'datetime': '2021-08-14 01:05:39', 'sensor id': 1, 'measurement': 88}
{'datetime': '2021-08-14 01:05:40', 'sensor id': 1, 'measurement': 80}
{'datetime': '2021-08-14 01:05:41', 'sensor id': 1, 'measurement': 93}
{'datetime': '2021-08-14 01:05:42', 'sensor id': 1, 'measurement': 92}
{'datetime': '2021-08-14 01:05:43', 'sensor id': 1, 'measurement': 99}
{'datetime': '2021-08-14 01:05:44', 'sensor id': 1, 'measurement': 88}
{'datetime': '2021-08-14 01:05:45', 'sensor id': 1, 'measurement': 87}
{'datetime': '2021-08-14 01:05:46', 'sensor id': 1, 'measurement': 80}
{'datetime': '2021-08-14 01:05:47', 'sensor id': 1, 'measurement': 98}
{'datetime': '2021-08-14 01:05:48', 'sensor id': 1, 'measurement': 95}
{'datetime': '2021-08-14 01:05:49', 'sensor id': 1, 'measurement': 92}
{'datetime': '2021-08-14 01:05:50', 'sensor id': 1, 'measurement': 84}
{'datetime': '2021-08-14 01:05:51', 'sensor id': 1, 'measurement': 89}
{'datetime': '2021-08-14 01:05:52', 'sensor id': 1, 'measurement': 81}
{'datetime': '2021-08-14 01:05:53', 'sensor id': 1, 'measurement': 94}
{'datetime': '2021-08-14 01:05:54', 'sensor id': 1, 'measurement': 83}
{'datetime': '2021-08-14 01:05:55', 'sensor id': 1, 'measurement': 87}
{'datetime': '2021-08-14 01:05:56', 'sensor id': 1, 'measurement': 85}
{'datetime': '2021-08-14 01:05:57', 'sensor id': 1, 'measurement': 94}
{'datetime': '2021-08-14 01:05:58', 'sensor id': 1, 'measurement': 81}
{'datetime': '2021-08-14 01:11:14', 'sensor id': 1, 'measurement': 87}
{'datetime': '2021-08-14 01:11:15', 'sensor id': 1, 'measurement': 84}
{'datetime': '2021-08-14 01:11:16', 'sensor id': 1, 'measurement': 90}
{'datetime': '2021-08-14 01:11:17', 'sensor id': 1, 'measurement': 91}
{'datetime': '2021-08-14 01:11:18', 'sensor id': 1, 'measurement': 85}
{'datetime': '2021-08-14 01:11:19', 'sensor id': 1, 'measurement': 83}
{'datetime': '2021-08-14 01:11:20', 'sensor id': 1, 'measurement': 82}
{'datetime': '2021-08-14 01:11:21', 'sensor id': 1, 'measurement': 89}
{'datetime': '2021-08-14 01:11:22', 'sensor id': 1, 'measurement': 85}
{'datetime': '2021-08-14 01:11:23', 'sensor id': 1, 'measurement': 97}
{'datetime': '2021-08-14 01:11:24', 'sensor id': 1, 'measurement': 82}
{'datetime': '2021-08-14 01:11:25', 'sensor id': 1, 'measurement': 83}
